datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-05-25,Fahrrad & Outdoor,Sport & Outdoor,steigend ↑,19.2,31.2,59.2,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
2026-05-25,Heimwerken & Garten,Heim & Garten,fallend ↓,35.8,-5.8,45.8,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-05-25,Gesundheit & Fitness,Gesundheit,stabil →,26.8,3.5,40.3,"Myprotein, Amazon, SportScheck, Gymondo","Fitnessstudio, Protein kaufen, Laufschuhe, Yoga, Heimtrainer"
2026-05-25,Elektronik & Technik,Elektronik,stabil →,25.1,0.2,35.3,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-05-25,Mode & Lifestyle,Mode,stabil →,23.2,-2.7,33.2,"Zalando, AboutYou, Amazon, Otto","Winterjacke kaufen, Sneaker, Kleidung online, Handtasche, Schmuck"
2026-05-25,Familie & Kinder,Familie,fallend ↓,27.9,-6.1,27.9,"Amazon, myToys, baby-walz, Jako-o","Kinderfahrrad, Spielzeug kaufen, Kinderwagen, Schulranzen, Babyausstattung"
