datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-06-07,Fahrrad & Outdoor,Sport & Outdoor,steigend ↑,19.6,23.0,59.6,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
2026-06-07,Heimwerken & Garten,Heim & Garten,stabil →,35.6,-4.8,55.6,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-06-07,Elektronik & Technik,Elektronik,stabil →,25.0,0.0,35.0,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-06-07,Gesundheit & Fitness,Gesundheit,fallend ↓,25.0,-8.1,25.0,"Myprotein, Amazon, SportScheck, Gymondo","Fitnessstudio, Protein kaufen, Laufschuhe, Yoga, Heimtrainer"
