datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-06-30,Elektronik & Technik,Elektronik,stabil →,24.3,-4.1,34.3,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-06-30,Heimwerken & Garten,Heim & Garten,fallend ↓,26.3,-26.5,26.3,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-06-30,Familie & Kinder,Familie,fallend ↓,24.2,-11.2,24.2,"Amazon, myToys, baby-walz, Jako-o","Kinderfahrrad, Spielzeug kaufen, Kinderwagen, Schulranzen, Babyausstattung"
2026-06-30,Gesundheit & Fitness,Gesundheit,fallend ↓,21.4,-20.6,21.4,"Myprotein, Amazon, SportScheck, Gymondo","Fitnessstudio, Protein kaufen, Laufschuhe, Yoga, Heimtrainer"
2026-06-30,Fahrrad & Outdoor,Sport & Outdoor,fallend ↓,15.7,-16.3,15.7,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
