jahr,bevoelkerung,prognose,datum_abruf
2010,77700,,2026-03-04
2015,74800,,2026-03-04
2020,72500,,2026-03-04
2022,71900,,2026-03-04
2023,71500,,2026-03-04
2030,69000,True,2026-03-04
2035,67000,True,2026-03-04
