datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-05-27,Gesundheit & Fitness,Gesundheit,stabil →,27.2,4.4,41.6,"Myprotein, Amazon, SportScheck, Gymondo","Fitnessstudio, Protein kaufen, Laufschuhe, Yoga, Heimtrainer"
2026-05-27,Elektronik & Technik,Elektronik,stabil →,26.0,-1.0,36.0,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-05-27,Mode & Lifestyle,Mode,stabil →,24.5,-3.9,34.5,"Zalando, AboutYou, Amazon, Otto","Winterjacke kaufen, Sneaker, Kleidung online, Handtasche, Schmuck"
2026-05-27,Familie & Kinder,Familie,fallend ↓,28.6,-7.3,28.6,"Amazon, myToys, baby-walz, Jako-o","Kinderfahrrad, Spielzeug kaufen, Kinderwagen, Schulranzen, Babyausstattung"
