datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-06-24,Elektronik & Technik,Elektronik,stabil →,25.0,3.5,38.5,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-06-24,Heimwerken & Garten,Heim & Garten,fallend ↓,29.8,-20.6,29.8,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-06-24,Mode & Lifestyle,Mode,fallend ↓,19.4,-14.5,19.4,"Zalando, AboutYou, Amazon, Otto","Winterjacke kaufen, Sneaker, Kleidung online, Handtasche, Schmuck"
2026-06-24,Fahrrad & Outdoor,Sport & Outdoor,fallend ↓,17.6,-5.6,17.6,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
