datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-06-26,Elektronik & Technik,Elektronik,stabil →,25.8,3.8,39.6,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-06-26,Familie & Kinder,Familie,stabil →,26.6,-4.7,36.6,"Amazon, myToys, baby-walz, Jako-o","Kinderfahrrad, Spielzeug kaufen, Kinderwagen, Schulranzen, Babyausstattung"
2026-06-26,Heimwerken & Garten,Heim & Garten,fallend ↓,29.4,-21.9,29.4,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-06-26,Gesundheit & Fitness,Gesundheit,fallend ↓,24.2,-11.0,24.2,"Myprotein, Amazon, SportScheck, Gymondo","Fitnessstudio, Protein kaufen, Laufschuhe, Yoga, Heimtrainer"
2026-06-26,Mode & Lifestyle,Mode,fallend ↓,19.3,-14.6,19.3,"Zalando, AboutYou, Amazon, Otto","Winterjacke kaufen, Sneaker, Kleidung online, Handtasche, Schmuck"
2026-06-26,Fahrrad & Outdoor,Sport & Outdoor,fallend ↓,16.4,-9.4,16.4,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
