datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-05-29,Fahrrad & Outdoor,Sport & Outdoor,steigend ↑,18.4,21.5,58.4,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
2026-05-29,Heimwerken & Garten,Heim & Garten,fallend ↓,36.7,-11.1,46.7,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-05-29,Gesundheit & Fitness,Gesundheit,stabil →,27.0,3.6,40.6,"Myprotein, Amazon, SportScheck, Gymondo","Fitnessstudio, Protein kaufen, Laufschuhe, Yoga, Heimtrainer"
2026-05-29,Elektronik & Technik,Elektronik,stabil →,24.9,-1.4,34.9,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-05-29,Familie & Kinder,Familie,fallend ↓,28.2,-8.8,28.2,"Amazon, myToys, baby-walz, Jako-o","Kinderfahrrad, Spielzeug kaufen, Kinderwagen, Schulranzen, Babyausstattung"
