datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-07-17,Fahrrad & Outdoor,Sport & Outdoor,stabil →,17.3,-2.0,27.3,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
2026-07-17,Familie & Kinder,Familie,fallend ↓,26.0,-5.5,26.0,"Amazon, myToys, baby-walz, Jako-o","Kinderfahrrad, Spielzeug kaufen, Kinderwagen, Schulranzen, Babyausstattung"
2026-07-17,Heimwerken & Garten,Heim & Garten,fallend ↓,24.8,-25.6,24.8,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-07-17,Elektronik & Technik,Elektronik,fallend ↓,23.3,-8.4,23.3,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-07-17,Gesundheit & Fitness,Gesundheit,fallend ↓,21.4,-14.3,21.4,"Myprotein, Amazon, SportScheck, Gymondo","Fitnessstudio, Protein kaufen, Laufschuhe, Yoga, Heimtrainer"
2026-07-17,Mode & Lifestyle,Mode,fallend ↓,16.2,-22.5,16.2,"Zalando, AboutYou, Amazon, Otto","Winterjacke kaufen, Sneaker, Kleidung online, Handtasche, Schmuck"
