datum,gruppe,kategorie,trend,aktueller_wert,veraenderung_%,affiliate_score,empfohlene_partner,keywords
2026-06-13,Fahrrad & Outdoor,Sport & Outdoor,steigend ↑,18.3,13.3,51.6,"Decathlon, Amazon, Fahrrad.de, Bergfreunde","Fahrrad kaufen, E-Bike, Fahrradreparatur, Camping, Wanderschuhe"
2026-06-13,Heimwerken & Garten,Heim & Garten,fallend ↓,35.1,-9.3,45.1,"OBI, Hornbach, Amazon, Bauhaus","Rasenmäher, Werkzeug kaufen, Gartenmöbel, Bohrmaschine, Gartenhaus"
2026-06-13,Elektronik & Technik,Elektronik,stabil →,24.0,-0.8,34.0,"MediaMarkt, Amazon, Alternate, Notebooksbilliger","Smartphone kaufen, Laptop günstig, Fernseher, Kopfhörer, Tablet"
2026-06-13,Familie & Kinder,Familie,fallend ↓,27.3,-7.0,27.3,"Amazon, myToys, baby-walz, Jako-o","Kinderfahrrad, Spielzeug kaufen, Kinderwagen, Schulranzen, Babyausstattung"
2026-06-13,Mode & Lifestyle,Mode,fallend ↓,21.0,-12.5,21.0,"Zalando, AboutYou, Amazon, Otto","Winterjacke kaufen, Sneaker, Kleidung online, Handtasche, Schmuck"
